id,title,prize,hackathon,location,track,award,date,projectRef,tagline,techStack,description,images
win-01,Moondream Vision & Voice LLM,"₹35,000 Cash Prize",E-Cell x BMSIT Code Red 2.0,"Bengaluru, India",ecell,WINNERS,2025,moondream-voice,On-device local LLM for realtime vision and voice assistant.,Moondream LLM;Whisper Turbo;Kokoro TTS;Python,"Built an on-device local LLM running locally for realtime vision + realtime voice assistant using Moondream LLM, Whisper Turbo STT, and Kokoro TTS.",/images/wins/win-01/img-1.jpg;/images/wins/win-01/img-2.jpg;/images/wins/win-01/img-3.jpg;/images/wins/win-01/img-4.jpg;/images/wins/win-01/img-5.jpg;/images/wins/win-01/img-6.jpg
win-02,Wearable AI Second Brain,Swags & Goodies,Google Developer Group Kristu Hackverse,"Bengaluru, India",ecell,GRAND PRIZE,2025,second-brain,Wearable AI for continuous summarization and situational awareness.,Embedded AI;LLM;Voice Analytics;Python,"Created a wearable AI second brain for continuous summarization, meeting notes generation, and real-time situational awareness.",/images/wins/win-02/img-1.jpg;/images/wins/win-02/img-2.jpg;/images/wins/win-02/img-3.jpg;/images/wins/win-02/img-4.jpg;/images/wins/win-02/img-5.jpg;/images/wins/win-02/img-6.jpg
win-03,Autonomous Vision Navigation,"₹30,000 Cash Prize",IEEE X PES Confluence,"Bengaluru, India",IEEE,WINNERS,2025,autonomous-nav,On-device depth estimation model with vLLM navigation.,vLLM;Depth Estimation;PyTorch;ROS,Developed autonomous navigation system with an on-device depth estimation model integrated with vLLM based path planning.,/images/wins/win-03/img-1.jpeg;/images/wins/win-03/img-2.jpeg;/images/wins/win-03/img-3.jpeg;/images/wins/win-03/img-4.jpeg;/images/wins/win-03/img-5.jpeg;/images/wins/win-03/img-6.jpeg
win-04,DBOTT Healthcare Voice Assistant,"₹10,000 Cash Prize",IVIS Lab X SIMBA GPT,"Bengaluru, India",IISc,1ST PLACE,2025,dbott-health,AI-based voice assistant for advanced patient management system.,Voice AI;FastAPI;LLM;HealthTech,"Built DBOTT, an AI-powered voice assistant tailored for advanced patient management and clinical workflow automation.",/images/wins/win-04/img-1.jpeg;/images/wins/win-04/img-2.jpeg;/images/wins/win-04/img-3.jpg;/images/wins/win-04/img-4.jpg;/images/wins/win-04/img-5.jpg;/images/wins/win-04/img-6.jpg;/images/wins/win-04/img-7.jpg
win-05,ROBERTT,"₹50,000 Cash Prize",Hackverse Mumbai,"Mumbai, India",ecell,WINNERS,2025,robertt,Modular robotics intelligence and autonomous control platform.,Robotics;C++;Embedded Systems;Python,"Engineered ROBERTT, a modular robotics & intelligence platform designed for adaptive control and edge decision-making.",/images/wins/win-05/img-1.jpg;/images/wins/win-05/img-2.jpg;/images/wins/win-05/img-3.jpg;/images/wins/win-05/img-4.jpeg;/images/wins/win-05/img-5.jpeg;/images/wins/win-05/img-6.jpg
win-06,Darshan Glasses,"₹10,000 Cash Prize",IIC X Geenovate Foundation Hackathon,"Bengaluru, India",ecell,1ST PLACE,2025,darshan-glasses,Smart assistive computer vision eyewear for visually impaired.,Computer Vision;Embedded Hardware;Edge AI;OpenCV,"Built Darshan Glasses, smart assistive eyewear utilizing edge computer vision to provide real-time spatial guidance for visually impaired individuals.",/images/wins/win-06/img-1.jpg;/images/wins/win-06/img-2.jpg;/images/wins/win-06/img-3.jpg;/images/wins/win-06/img-4.jpeg;/images/wins/win-06/img-5.jpeg;/images/wins/win-06/img-6.jpg
win-07,Investigative AI,"₹30,000 Cash Prize",Karnataka State Police X Presidency Namma Suraksha Hackathon,"Bengaluru, India",ecell,GRAND PRIZE,2025,investigative-ai,Smart crime investigation & telemetry analysis platform.,Data Analytics;AI;Python;FastAPI,"Created Investigative AI, an advanced crime intelligence and telemetry analysis system for public safety agencies.",/images/wins/win-07/img-1.jpeg;/images/wins/win-07/img-2.jpg;/images/wins/win-07/img-3.jpg;/images/wins/win-07/img-4.jpg;/images/wins/win-07/img-5.jpg;/images/wins/win-07/img-6.jpg;/images/wins/win-07/img-7.jpg;/images/wins/win-07/img-8.jpg
win-08,EO/IR Sensor Classification System,"₹75,000 Cash Prize",HAL Aerothon 2025,"Bengaluru, India",HAL,WINNERS,2025,eo-ir-classifier,Video image classification & target identification system.,PyTorch;YOLO;Sensor Fusion;C++,Developed an electro-optical and infrared (EO/IR) sensor video image classification system for real-time aerial target identification.,/images/wins/win-08/img-1.jpg;/images/wins/win-08/img-2.jpg;/images/wins/win-08/img-3.jpg;/images/wins/win-08/img-4.jpg;/images/wins/win-08/img-5.jpg;/images/wins/win-08/img-6.jpg
win-09,DocCall Pre-Consultation Agent,"₹2,000 Cash Prize",IIT BBS X Jazzee GenAI Hackathon,"Bhubaneswar, India",ecell,WINNERS,2025,doc-call-agent,Automated conversational calling agent for clinical intake.,Voice AI;Twilio;LangChain;Python,Engineered an automated AI calling agent for doctors to conduct pre-consultation patient intake and triage automatically.,/images/wins/win-09/img-1.jpg;/images/wins/win-09/img-2.jpg;/images/wins/win-09/img-3.jpg;/images/wins/win-09/img-4.jpg;/images/wins/win-09/img-5.jpg;/images/wins/win-09/img-6.jpg
win-10,GAJA,"₹20,000 Cash Prize",Geeks for Geeks CBC Hackathon 1.0,"Bengaluru, India",ecell,1ST PLACE,2025,gaja-uav,Heavy-duty autonomous UAV payload & navigation system.,PX4;ArduPilot;Embedded C++;Robotics,"Designed GAJA, a heavy-duty autonomous UAV system with custom flight dynamics and payload release telemetry.",/images/wins/win-10/img-1.jpg;/images/wins/win-10/img-2.jpg;/images/wins/win-10/img-3.jpg;/images/wins/win-10/img-4.jpg;/images/wins/win-10/img-5.jpg;/images/wins/win-10/img-6.jpg
